long,lat,alt,x,y,pre_value,meanTem,meanPre,popdensity,mean
-2.983333333,41.65,1004.995,501387.8316,4610917.448,88.59790228,12.07,648.16,11.8,14.11978261
-2.816666667,41.65,1027.405,515266.1503,4610933.546,90.4614823,12.07,648.16,11.8,14.11978261
-2.65,41.65,1066.06,529144.4845,4610976.473,93.69197141,12.07,648.16,11.8,14.11978261
-2.483333333,41.65,1056.3625,543022.8479,4611046.231,92.82397148,12.07,648.16,11.8,14.11978261
-2.316666667,41.65,1000.575,556901.2545,4611142.821,88.09115993,12.07,648.16,11.8,14.11978261
-2.15,41.65,1040.8225,570779.7183,4611266.244,91.44315368,12.07,648.16,11.8,14.11978261
-1.983333333,41.65,1117.555,584658.2531,4611416.504,97.8485034,12.07,648.16,11.8,14.11978261
-6.15,41.48333333,752.4820513,237008.4306,4597205.228,67.39517149,12.07,648.16,11.8,14.11978261
-5.983333333,41.48333333,741.96,250924.9286,4596711.356,66.3982023,12.07,648.16,11.8,14.11978261
-5.816666667,41.48333333,697.0525,264841.1666,4596244.382,62.50774208,12.07,648.16,11.8,14.11978261
-5.65,41.48333333,671.6625,278757.1589,4595804.296,60.33745482,12.07,648.16,11.8,14.11978261
-5.483333333,41.48333333,708.73,292672.9199,4595391.088,63.46482615,12.07,648.16,11.8,14.11978261
-5.316666667,41.48333333,691.4125,306588.4638,4595004.751,62.01558687,12.07,648.16,11.8,14.11978261
-5.15,41.48333333,697.2125,320503.8051,4594645.276,62.50746051,12.07,648.16,11.8,14.11978261
-4.983333333,41.48333333,716.76,334418.9582,4594312.657,64.1730649,12.07,648.16,11.8,14.11978261
-4.816666667,41.48333333,713.89,348333.9374,4594006.886,63.9651079,12.07,648.16,11.8,14.11978261
-4.65,41.48333333,733.05,362248.7574,4593727.958,65.63247365,12.07,648.16,11.8,14.11978261
-4.483333333,41.48333333,842.075,376163.4327,4593475.867,74.87317766,12.07,648.16,11.8,14.11978261
-4.316666667,41.48333333,880.795,390077.9777,4593250.607,78.19359799,12.07,648.16,11.8,14.11978261
-4.15,41.48333333,885.98,403992.4071,4593052.174,78.67596633,12.07,648.16,11.8,14.11978261
-3.983333333,41.48333333,904.4275,417906.7355,4592880.565,80.25801409,12.07,648.16,11.8,14.11978261
-3.816666667,41.48333333,1036.8625,431820.9774,4592735.776,91.42814231,12.07,648.16,11.8,14.11978261
-3.65,41.48333333,1061.9825,445735.1475,4592617.803,93.51265024,12.07,648.16,11.8,14.11978261
-3.483333333,41.48333333,988.2725,459649.2604,4592526.644,87.30149704,12.07,648.16,11.8,14.11978261
